movie_id,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
movie_0155,Dream Battle,Movie,Romance,Unknown,2005,140,TV-Y7,English,USA,6.5,3778470,10889136,7,97,FALSE,01-07-2025,FALSE
movie_0156,An Ice,Movie,History,Thriller,2019,111,TV-14,English,France,6,19903417,10427828,7,97,TRUE,16-07-2023,FALSE
movie_0157,Last Ice,Documentary,Sport,Unknown,2001,77,R,German,USA,10,3778470,11102590.5,7,97,FALSE,15-02-2022,FALSE
movie_0158,Storm Princess,Documentary,War,Unknown,2019,110,R,English,USA,6.4,3778470,11102590.5,7,97,FALSE,27-02-2022,TRUE
movie_0159,Battle Family,Movie,Drama,Mystery,2001,121,NC-17,Korean,India,7.7,6129856,6244192,7,97,FALSE,23-01-2023,FALSE
movie_0160,Love Journey,Movie,Comedy,Unknown,2016,10,R,Italian,Canada,6.6,9355608,738634327,7,97,FALSE,19-08-2023,FALSE
movie_0161,Our King,Movie,Western,Unknown,1993,97,TV-Y,English,Germany,6.5,3405303,894261,7,97,FALSE,20-02-2021,FALSE
movie_0162,Day Fire,TV Series,Animation,Sci-Fi,2005,40,TV-PG,Spanish,South Korea,5.8,3778470,11102590.5,5,111,FALSE,23-08-2021,FALSE
movie_0163,Bright War,Movie,Comedy,Unknown,2015,85,TV-PG,English,USA,5.7,503735,58761541,7,97,FALSE,10-01-2021,TRUE
movie_0164,Quest Ice,Movie,Romance,Western,1995,111,TV-14,English,USA,6.4,2398917,35707634,7,97,FALSE,13-01-2021,FALSE
movie_0165,Bright Day,Movie,Action,Sci-Fi,2018,91,G,English,Germany,7.6,456624,82210,7,97,FALSE,21-11-2023,FALSE
movie_0166,Mystery Princess,TV Series,Western,Unknown,2012,66,TV-G,English,USA,3.3,3778470,11102590.5,10,54,TRUE,03-02-2024,FALSE
movie_0167,Battle Night,TV Series,Adventure,Unknown,2010,37,TV-MA,Italian,USA,6.4,3778470,11102590.5,9,178,FALSE,26-06-2021,FALSE
movie_0168,Love Love,Movie,Crime,Mystery,1997,103,G,English,USA,6.9,5781768,11102590.5,7,97,TRUE,13-02-2023,FALSE
movie_0169,Storm Day,TV Series,Western,Unknown,1998,53,TV-PG,English,Canada,6.9,3778470,11102590.5,13,81,FALSE,20-01-2025,FALSE
movie_0170,Phoenix Love,Movie,Horror,Unknown,1997,537,R,English,South Korea,6.1,431570,6675003,7,97,FALSE,10-03-2024,TRUE
movie_0171,Dream Warrior,Movie,Biography,Unknown,1994,110,TV-14,English,USA,1.4,3768477,11316045,7,97,FALSE,21-05-2021,FALSE
movie_0172,My Story,Movie,Horror,Unknown,1993,94,TV-Y,Spanish,USA,10,5064920,11553135,7,97,FALSE,10-09-2023,FALSE
movie_0173,Little Dragon,Stand-up Comedy,Sci-Fi,History,2002,58,TV-Y,Hindi,Canada,7.2,3778470,11102590.5,7,97,TRUE,04-02-2022,FALSE
movie_0174,City Battle,TV Series,Thriller,Unknown,2020,50,TV-Y7,Spanish,France,6.4,3778470,11102590.5,7,78,FALSE,06-11-2023,FALSE
movie_0175,Fire Day,Movie,Fantasy,Unknown,2002,137,TV-G,German,USA,8.9,365831,11102590.5,7,97,TRUE,13-07-2023,FALSE
movie_0176,Dream City,TV Series,Documentary,Unknown,2008,39,TV-Y7,French,USA,4.4,3778470,11102590.5,10,116,TRUE,02-09-2022,FALSE
movie_0177,Fire Princess,Movie,Drama,Unknown,2022,99,PG,Italian,USA,9.1,197326642,5829409,7,97,TRUE,21-09-2024,FALSE
movie_0178,Our Princess,TV Series,Animation,Unknown,2002,55,G,English,South Korea,5.6,3778470,11102590.5,7,6,FALSE,30-11-2023,FALSE
movie_0179,Battle Empire,TV Series,Documentary,Unknown,2014,41,TV-PG,Spanish,UK,0.8,3778470,11102590.5,6,20,TRUE,30-03-2023,FALSE
movie_0180,Story Queen,TV Series,Action,Unknown,2010,26,G,English,USA,6.5,3778470,11102590.5,1,159,FALSE,18-11-2020,FALSE
movie_0181,Phoenix Hero,TV Series,Crime,Unknown,2020,43,G,English,UK,7.4,3778470,11102590.5,4,134,FALSE,22-09-2023,FALSE
